"trap_year","trapped_date","tmp_fish_id","current_location","final_location","finalize","verify","follow-up","is_import","facility","trap","trap_is_offsite","trapping_session_name","target_species","target_run","trapping_session_commnets","fish_id","count","species","run","sex","origin","origin_expression","origin_description","origin_creator","origin_creation_date","living_status","length","age_designation","age_calculated","age_criteria_start_length","age_criteria_end_length","age_criteria_start_date","age_criteria_end_date","moved_to_facility","moved_to","moved_to_location_type","moved_to_is_offsite","offsite_owner_facility","offsite_location_latitude","offsite_location_longitude","offsite_location_description","disposition","release_site","release_site_latitude","release_site_longitude","purpose","existing_marks","existing_marks_quantity","applied_marks","applied_marks_quantity","existing_tags","applied_tags","existing_cwt","existing_cwt_value","applied_cwt","applied_cwt_value","existing_pit","applied_pit","samples","conditions","recap","injected","weight","notes","group_notes","import_custom","weir","stream","release_up","release_dwn","marked","recapped","JulianDate","MonthDay"
2021,2021-06-27,"158957",NA,NA,"False","False","False","False","NPT GRSME Program","Lostine River Weir","False","Session - 06/27/2021 Lostine River Weir 6:30 AM PST","Chinook","Summer","52.4 F","4",1,"Chinook","Summer","Female","Natural","Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]","Natural","Default","2017-05-17T00:00:00","Alive",830,"Adult","True","631","1500","2021-01-01T00:00:00","2021-12-31T00:00:00","Lookingglass Fish Hatchery","Lookingglass Fish Hatchery Inbox","Inbox","False",NA,NA,NA,NA,"Transferred",NA,NA,NA,"Within FINS Facility","UNC","1","ROP","1","None",NA,"Not Present",NA,NA,NA,NA,NA,"GEN 2021-LRW-CHS-105",NA,FALSE,"True",NA,".33",NA,NA,"Lostine River Weir","Lostine River",FALSE,FALSE,FALSE,FALSE,178,"06/27"
2021,2021-07-02,"251760",NA,NA,"False","False","False","False","NPT GRSME Program","Lostine River Weir","False","Session - 07/02/2021 Lostine River Weir 8:00 AM PST","Chinook","Summer","57.3","29",1,"Chinook","Summer","Female","Natural","Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]","Natural","Default","2017-05-17T00:00:00","Alive",770,"Adult","True","631","1500","2021-01-01T00:00:00","2021-12-31T00:00:00","Lookingglass Fish Hatchery","Lookingglass Fish Hatchery Inbox","Inbox","False",NA,NA,NA,NA,"Transferred",NA,NA,NA,"Within FINS Facility","UNC","1","ROP","1","None",NA,"Not Present",NA,NA,NA,NA,NA,"GEN 2021-LWR-CHS-215",NA,FALSE,"True",NA,".26",NA,NA,"Lostine River Weir","Lostine River",FALSE,FALSE,FALSE,FALSE,183,"07/02"
2021,2021-06-21,"96964",NA,NA,"False","False","False","False","NPT GRSME Program","Lostine River Weir","False","Session - 06/21/2021 Lostine River Weir 7:00 AM PST","Chinook","Summer","47.8 F","18",1,"Chinook","Summer","Female","Natural","Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]","Natural","Default","2017-05-17T00:00:00","Alive",800,"Adult","True","631","1500","2021-01-01T00:00:00","2021-12-31T00:00:00","Lookingglass Fish Hatchery","Lookingglass Fish Hatchery Inbox","Inbox","False",NA,NA,NA,NA,"Transferred",NA,NA,NA,"Within FINS Facility","UNC","1","ROP","1","None",NA,"Not Present",NA,NA,NA,NA,NA,"GEN 2021-LRW-CHS-025",NA,FALSE,"True",NA,"0.29",NA,NA,"Lostine River Weir","Lostine River",FALSE,FALSE,FALSE,FALSE,172,"06/21"
2021,2021-06-21,"96970",NA,NA,"False","False","False","False","NPT GRSME Program","Lostine River Weir","False","Session - 06/21/2021 Lostine River Weir 7:00 AM PST","Chinook","Summer","47.8 F","24",1,"Chinook","Summer","Female","Natural","Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]","Natural","Default","2017-05-17T00:00:00","Alive",844,"Adult","True","631","1500","2021-01-01T00:00:00","2021-12-31T00:00:00","Lookingglass Fish Hatchery","Lookingglass Fish Hatchery Inbox","Inbox","False",NA,NA,NA,NA,"Transferred",NA,NA,NA,"Within FINS Facility","UNC","1","ROP","1","None",NA,"Not Present",NA,NA,NA,NA,NA,"GEN 2021-LRW-CHS-031",NA,FALSE,"True",NA,"0.34",NA,NA,"Lostine River Weir","Lostine River",FALSE,FALSE,FALSE,FALSE,172,"06/21"
